property_name,property_type,amenity_text,amenities_found,amenity_count,date,start_month,start_day,end_month,end_day,price_in_dollar,review_and_rating,rating,review,location,city,country
"Chalet in Skykomish, Washington, US",Chalet,Sky Haus - A-Frame Cabin,[],0,Jun 11 - 16,Jun,11,Jun,16,306.0,4.85 (531),4.85,531.0,"Skykomish, Washington, US","Skykomish, Washington",US
"Cabin in Hancock, New York, US",Cabin,The Catskill A-Frame - Mid-Century Modern Cabin,[],0,Jun 6 - 11,Jun,6,Jun,11,485.0,4.77 (146),4.77,146.0,"Hancock, New York, US","Hancock, New York",US
"Cabin in West Farmington, Ohio, US",Cabin,The Triangle: A-Frame Cabin for your city retreat,[],0,Jul 9 - 14,Jul,9,Jul,14,119.0,4.91 (515),4.91,515.0,"West Farmington, Ohio, US","West Farmington, Ohio",US
"Home in Blue Ridge, Georgia, US",Home,*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,['Jacuzzi'],1,Jun 11 - 16,Jun,11,Jun,16,192.0,4.94 (88),4.94,88.0,"Blue Ridge, Georgia, US","Blue Ridge, Georgia",US
"Treehouse in Grandview, Texas, US",Treehouse,Luxury Treehouse Couples Getaway w/ Peaceful Views,[],0,Jun 4 - 9,Jun,4,Jun,9,232.0,4.99 (222),4.99,222.0,"Grandview, Texas, US","Grandview, Texas",US
"Tiny home in Puerto Escondido, Mexico",Tiny home,Casa Tiny near Casa Wabi,[],0,Jun 21 - 26,Jun,21,Jun,26,261.0,4.84 (555),4.84,555.0,"Puerto Escondido, Mexico",Puerto Escondido,Mexico
"Home in Saco, Maine, US",Home,The Beach House. Oceanfront & Sunrise Views!,[],0,Jun 4 - 9,Jun,4,Jun,9,607.0,4.64 (90),4.64,90.0,"Saco, Maine, US","Saco, Maine",US
"Chalet in Grand Étang, Canada",Chalet,• Cedar Peak • 2 Bedroom Barrier-Free Chalet,[],0,Jun 8 - 15,Jun,8,Jun,15,381.0,5.0 (48),5.0,48.0,"Grand Étang, Canada",Grand Étang,Canada
"Room in Mexico City, Mexico",Room,"Room in apartment, traditional neighborhood",[],0,Jul 3 - 8,Jul,3,Jul,8,29.0,4.84 (58),4.84,58.0,"Mexico City, Mexico",Mexico City,Mexico
"Tiny home in Sandy Valley, Nevada, US",Tiny home,Peacock Tiny House near Las Vegas,[],0,Jun 26 - Jul 1,Jun,26,Jul,1,154.0,4.92 (744),4.92,744.0,"Sandy Valley, Nevada, US","Sandy Valley, Nevada",US
"Guest suite in Huntsville, Canada",Guest suite,Hidden Valley’s Guest Suite - explore nature,['Nature'],1,Sep 4 - 10,Sep,4,Sep,10,207.0,4.97 (265),4.97,265.0,"Huntsville, Canada",Huntsville,Canada
