title,property_type,city,country,detail,amenities,date,day,month,price,rating,review
"Chalet in Skykomish, Washington, US",,,US,Sky Haus - A-Frame Cabin,,Jun 11 - 16,11,6,306.0,4.85,
"Cabin in Hancock, New York, US",,,US,The Catskill A-Frame - Mid-Century Modern Cabin,,Jun 6 - 11,6,6,485.0,4.77,
"Cabin in West Farmington, Ohio, US",,,US,The Triangle: A-Frame Cabin for your city retreat,,Jul 9 - 14,9,7,119.0,4.91,
"Home in Blue Ridge, Georgia, US",,,US,*Summer Sizzle* 5 Min to Blue Ridge* Pets* Hot tub,Jacuzzi,Jun 11 - 16,11,6,192.0,4.94,
"Treehouse in Grandview, Texas, US",,,US,Luxury Treehouse Couples Getaway w/ Peaceful Views,Air conditioning,Jun 4 - 9,4,6,232.0,4.99,
"Tiny home in Puerto Escondido, Mexico",,,US,Casa Tiny near Casa Wabi,,Jun 21 - 26,21,6,261.0,4.84,
"Home in Saco, Maine, US",,,US,The Beach House. Oceanfront & Sunrise Views!,Air conditioning,Jun 4 - 9,4,6,607.0,4.64,
"Chalet in Grand Étang, Canada",,,US,• Cedar Peak • 2 Bedroom Barrier-Free Chalet,,Jun 8 - 15,8,6,381.0,5.0,
"Room in Mexico City, Mexico",,,US,"Room in apartment, traditional neighborhood",,Jul 3 - 8,3,7,29.0,4.84,
"Tiny home in Sandy Valley, Nevada, US",,,US,Peacock Tiny House near Las Vegas,Air conditioning,Jun 26 - Jul 1,26,,154.0,4.92,
"Guest suite in Huntsville, Canada",,,US,Hidden Valley’s Guest Suite - explore nature,,Sep 4 - 10,4,9,207.0,4.97,
"Cabin in Nelson, Canada",,,US,Downey Family Cabin. Barrel Sauna Included!,,Jun 1 - 6,1,6,162.0,4.99,
"Dome in Joshua Tree, California, US",,,US,Dome in the Desert in Joshua Tree,,Jun 1 - 6,1,6,268.0,4.94,
"Barn in Vero Beach, Florida, US",,,US,Private Barn Studio at Pura Vida Florida Farm,,Sep 11 - 16,11,9,111.0,4.95,
"Tiny home in Bolton, Vermont, US",,,US,Cozy Tiny House Cabin between Burlington and Stowe,,Jun 1 - 6,1,6,174.0,4.97,
"Cabin in Ucluelet, Canada",,,US,Peace Cabin - private waterfront forest retreat,Air conditioning,Sep 8 - 13,8,9,497.0,4.99,
