Title,Detail,Date,Price(in dollar),Offer price(in dollar),Review and rating,Number of bed
"Hotel in Tepoztlán, Mexico",Posada Sarita,Jun 3 - 10,50.00,,4.56 (176),3 beds
"Hotel in Tepoztlán, Mexico",Posada Sarita,Jun 3 - 10,50.00,,4.56 (176),3 beds
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Jun 12 - 17,131.00,,4.81 (43),1 double bed
"Home in Baião, Portugal",CasasdoCasinhotoD-Rustic House (pool; river view),Jun 12 - 17,131.00,,4.81 (43),1 double bed
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111.00,,5.0 (11),1 bed
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135.00,,4.85 (13),2 beds
"Guesthouse in Perranwell Station, UK",The Folly - Cornwall,Jun 18 - 23,111.00,,5.0 (11),1 bed
"Home in Audierne, France",Villa Trouz Ar Mor,Jul 1 - 6,135.00,,4.85 (13),2 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123.00,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231.00,,4.85 (204),4 beds
"Home in Bad Sankt Leonhard im Lavanttal, Austria",1A chalet resting crickets + hiking with indoor sauna,Jun 22 - 27,123.00,,4.67 (110),3 beds
"Vacation home in Punta Prima, Spain",Beachfront apartment with perfect seaview,Jun 1 - 6,231.00,,4.85 (204),4 beds
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,Jun 13 - 20,22.00,,4.87 (210),1 bunk bed
"Earthen home in Mueang Chiang Mai District, Thailand",Leafy Greens Chiangmai : Mushroom M2,Jun 13 - 20,22.00,,4.87 (210),1 bunk bed
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,Jun 13 - 18,71.00,,5.0 (13),1 bed
"Hotel in Tambon Ratsada, Thailand",Hotel Room with Private Plunge Pool Siray Bay#2,Jun 13 - 18,71.00,,5.0 (13),1 bed
"Home in Kecamatan Selat, Indonesia",The Nude House,Jul 10 - 15,305.00,,4.68 (19),2 beds
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,Jul 25 - 30,119.00,,5.0 (98),1 king bed
"Home in Kecamatan Selat, Indonesia",The Nude House,Jul 10 - 15,305.00,,4.68 (19),2 beds
"Villa in Kathu, Thailand",Tiny Poolvilla in the heart of Phuket,Jul 25 - 30,119.00,,5.0 (98),1 king bed
"Room in Kabupaten Badung, Indonesia",Private room4 Legian/breakfast/close to Kuta beach,Jun 6 - 11,81.00,,4.91 (34),1 bed
"Villa in Karangasem, Indonesia","Luxury Ocean Front, 2,500sq ft Private Eco Villa!",Jun 16 - 21,450.00,,4.96 (24),1 double bed
"Apartment in PHUKET, Thailand",★Studio in Seafront Private Villa w/infinity pool★,Jun 30 - Jul 5,53.00,,4.83 (93),3 beds
"Condo in Na Chom Thian, Thailand",Veranda Residence pattaya 2bedroom partial seaview,Jun 6 - 11,83.00,,4.89 (186),2 beds
"Home in Hua Hin, Thailand",Cool Home w Garden near Sea,Jul 6 - 11,77.00,,4.81 (360),2 beds
