Property Name,Amenities,Property Type,City,Country,Month,Price(in dollar),Rating,Number of Reviews,Rating Rank,Price Rank,Province State Region
"Farm stay in Saint Marys, Canada",Cozy Farm Stay Getaway,Farm stay,Saint Marys,Canada,June,99.00,4.86,183.0,385,1,
"Farm stay in Saint Marys, Canada",Cozy Farm Stay Getaway,Farm stay,Saint Marys,Canada,June,99.00,4.86,183.0,386,1,
"Guesthouse in Naalehu, Hawaii, US",The Ohana,Guesthouse,Naalehu,United States,June,99.00,4.86,182.0,387,1,Hawaii
"Guesthouse in Naalehu, Hawaii, US",The Ohana,Guesthouse,Naalehu,United States,June,99.00,4.86,182.0,388,1,Hawaii
"Villa in Koh Yao Noi, Thailand","Eagles Nest, Luxury Villa, Koh Yao Noi",Villa,Koh Yao Noi,Thailand,June,986.00,4.95,43.0,175,2,
"Loft in Jelutong, Malaysia",#Maritime*3*The Rhythm of the Sea @ 日出无敌全海景,Loft,Jelutong,Malaysia,June,98.00,4.56,93.0,649,3,
"Treehouse in Fountana, Greece",Nasos' Treehouse,Treehouse,Fountana,Greece,June,98.00,4.91,32.0,279,3,
"Cabin in Rosenthal-Bielatal, Germany",Mountain hut in the Elbe sandstone with log cabin sauna,Cabin,Rosenthal-Bielatal,Germany,June,98.00,4.78,169.0,544,3,
"Treehouse in Verson, France",2 Cabins perched above a pond!,Treehouse,Verson,France,June,98.00,4.94,530.0,185,3,
"Treehouse in Fountana, Greece",Nasos' Treehouse,Treehouse,Fountana,Greece,June,98.00,4.81,98.0,501,3,
"Treehouse in Verson, France",2 Cabins perched above a pond!,Treehouse,Verson,France,June,98.00,4.91,68.0,273,3,
"Apartment in Carolina, Puerto Rico",Isla Verde Beach Studio {105},Apartment,Carolina,Puerto Rico,July,97.00,4.67,433.0,614,4,
"Villa in Thành phố Hội An, Vietnam",Private pool two bedroom villa - villa the cow,Villa,Thành phố Hội An,Vietnam,June,97.00,4.8,124.0,515,4,
"Room in Planos, Greece",Kimiro Hotel Tsilivi,Room,Planos,Greece,June,97.00,4.91,43.0,276,4,
"Villa in Langkawi, Malaysia",Alamanda Tropical Wooden Villa - Pool View,Villa,Langkawi,Malaysia,June,97.00,4.87,196.0,364,4,
"Tiny home in Mill Village, Canada",UpStream (Waterfront Cabin With Wood Stove & WiFi),Tiny home,Mill Village,Canada,June,97.00,4.87,101.0,369,4,
"Home in Lembang, Indonesia",Minimax House by wiandra,Home,Lembang,Indonesia,June,96.00,4.84,81.0,449,5,
"Room in Bangkok, Thailand",Ba hao Residence x MAITRI CHIT ROOM,Room,Bangkok,Thailand,August,96.00,4.93,431.0,210,5,
"Cabin in Nowy Targ, Poland",Gruszkówka 1 Cottage (7 km from Białka ),Cabin,Nowy Targ,Poland,June,96.00,4.98,86.0,88,5,
"Tiny home in Kecamatan Ubud, Indonesia",Tiny Tall Haus Ubud Getaway!,Tiny home,Kecamatan Ubud,Indonesia,June,95.00,4.87,104.0,368,6,
"Place to stay in Mont-le-Vernois, France",Cabin in the wild,Place to stay,Mont-le-Vernois,France,September,95.00,4.98,46.0,97,6,
"Room in Saint-Ouen, France",Biron aux Puces de Saint Vincent Market,Room,Saint-Ouen,France,October,95.00,4.9,61.0,299,6,
"Room in La Zubia, Spain",Alhambra Trails 2,Room,La Zubia,Spain,June,94.00,4.78,36.0,551,7,
"Cabin in Båstad V, Sweden","Tyga Gård, probably most beautiful on Bjäre",Cabin,Båstad V,Sweden,June,94.00,4.9,43.0,300,7,
"Home in Castelmezzano, Italy",Casa del Mago - Castelmezzano,Home,Castelmezzano,Italy,June,93.00,4.78,100.0,549,8,
"Shepherd’s hut in Saint-Nabord, France",Anty's Pond: Davy Crockett's Hut,Shepherd’s hut,Saint-Nabord,France,June,93.00,4.87,150.0,367,8,
"Cottage in Renous, Canada",Hambrook Point Cottage “Homestead”,Cottage,Renous,Canada,June,93.00,4.87,360.0,357,8,
"Apartment in Kotor, Montenegro",💎Boka Bay view apartment.💎,Apartment,Kotor,Montenegro,July,93.00,4.69,218.0,603,8,
"Cabin in Walpole, UK","Peaceful, wooden garden cabin",Cabin,Walpole,United Kingdom,July,93.00,4.91,255.0,262,8,
"Villa in Ubud, Indonesia",Luxury 1 BR Villa w/ Private Pool & Ricefield View,Villa,Ubud,Indonesia,October,92.00,4.95,208.0,165,9,
"Castle in Vay, France","Stay in the castle, with family or friends",Castle,Vay,France,June,92.00,4.94,169.0,195,9,
"Room in Wien, Austria",Central luxury /Hauptbahnhof,Room,Wien,Austria,September,92.00,5.0,9.0,50,9,
"Room in Halsham, UK",King bedroom in historic house with garden access,Room,Halsham,United Kingdom,June,92.00,4.96,24.0,152,9,
"Room in Galveston, Texas, US",Tropicana Suite-Grand Manor Luxury Mansion Loft,Room,Galveston,United States,August,92.00,4.86,494.0,379,9,Texas
"Resort in Nusa Lembongan,, Indonesia",Acala Lembongan-Deluxe Suite Sea View,Resort,Nusa Lembongan,Indonesia,October,92.00,4.63,51.0,632,9,
"Trullo in Martina Franca, Italy",The Olive Tree Court,Trullo,Martina Franca,Italy,June,92.00,4.85,143.0,412,9,
"Treehouse in Klungkung, Indonesia",3 Bdr - The Dream Cliffside Bamboo Villa By Avana,Treehouse,Klungkung,Indonesia,August,913.00,4.97,30.0,122,10,
"Cabin in Naples, New York, US",East hill cabins #1,Cabin,Naples,United States,June,91.00,4.82,334.0,474,11,New York
"Farm stay in Asciano, Italy",Green - Lawns in Tuscany,Farm stay,Asciano,Italy,July,91.00,4.97,145.0,113,11,
"Apartment in Bangkok , Thailand","Luxury Q Chidlom Condo, BTS ChitLom, Siam,",Apartment,Bangkok,Thailand,June,90.00,4.79,61.0,533,12,
"Condo in Tambon Thep Krasatti, Thailand",2 Bedrooms Beachfront on Maikhao Beach B#7F,Condo,Tambon Thep Krasatti,Thailand,June,90.00,4.6,65.0,638,12,
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",Mimosa Y - Beautiful Unique Container Home w' Pool,Shipping container,Puerto Viejo de Talamanca,Costa Rica,June,90.00,4.85,54.0,426,12,
"Shipping container in Puerto Viejo de Talamanca, Costa Rica",Mimosa Y - Beautiful Unique Container Home w' Pool,Shipping container,Puerto Viejo de Talamanca,Costa Rica,June,90.00,4.85,54.0,425,12,
"Condo in Malibu, California, US","Malibu, Carbon Beach - Suite Seven",Condo,Malibu,United States,June,898.00,4.86,311.0,382,13,California
"Hut in Ubud, Indonesia",50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,Hut,Ubud,Indonesia,October,89.00,4.67,128.0,617,14,
"Apartment in San José, Costa Rica",New Boho Sabana Apartment Close to Airports w/ AC,Apartment,San José,Costa Rica,June,89.00,4.85,81.0,417,14,
"Cabin in Puerto Viejo de Talamanca, Costa Rica",Tiny Beach front house,Cabin,Puerto Viejo de Talamanca,Costa Rica,July,89.00,4.73,140.0,582,14,
"Apartment in Playa del Carmen, Mexico","Su mejor opción en Playa del Carmen, a pasos de la quinta av.",Apartment,Playa del Carmen,Mexico,June,89.00,4.78,231.0,543,14,
"Home in Santander, Philippines",Private Beach House. The Shack,Home,Santander,Philippines,June,89.00,4.88,41.0,349,14,
"Farm stay in Del Norte County, California, US",Underground Hobbit Hole @ Sustainable Ecovillage,Farm stay,Del Norte County,United States,June,89.00,4.54,195.0,654,14,California
"Loft in George Town, Malaysia",Coastline Seaview Duplex Level 19 Executive Floor,Loft,George Town,Malaysia,June,87.00,4.92,437.0,231,15,
"Loft in George Town, Malaysia",Coastline Seaview Duplex Level 19 Executive Floor,Loft,George Town,Malaysia,June,87.00,4.92,437.0,232,15,
"Cabin in Gilmour, Canada",Cozy cabin on 5 acres !,Cabin,Gilmour,Canada,June,86.00,4.73,124.0,583,16,
"Room in Saint-Mandé, France",Nice place for your stay in Paris,Room,Saint-Mandé,France,October,86.00,4.96,319.0,131,16,
"Condo in Χράνοι, Greece",Ilaira Apartments,Condo,Χράνοι,Greece,June,86.00,4.86,38.0,393,16,
"Place to stay in Ubud, Indonesia",Villa Akasha - Bio-Architected Eco Dome,Place to stay,Ubud,Indonesia,September,86.00,4.65,303.0,625,16,
"Farm stay in Pennabilli, Italy",Casa Cerbaia | Betulla,Farm stay,Pennabilli,Italy,June,86.00,4.95,19.0,181,16,
"Home in Coreggia, Italy",Silk Trulli,Home,Coreggia,Italy,June,86.00,4.52,21.0,658,16,
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Tiny home,Muldenhammer,Germany,June,86.00,5.0,57.0,13,16,
"Tiny home in Muldenhammer, Germany",Hascherle Hitt,Tiny home,Muldenhammer,Germany,June,86.00,5.0,57.0,14,16,
"Chalet in Afa, France",""" La cabane du Gozzi""",Chalet,Afa,France,June,85.00,4.79,346.0,527,17,
"Home in Reclesne, France",La Petite Chaumière,Home,Reclesne,France,June,85.00,4.79,39.0,534,17,
"Tent in Sabóia, Portugal",Lost Paradise - A night into the Alentejo!,Tent,Sabóia,Portugal,June,85.00,4.95,39.0,177,17,
"Apartment in Kuala Lumpur, Malaysia",Admire Deluxe Marble Walls at a Highrise Resort Home,Apartment,Kuala Lumpur,Malaysia,June,85.00,4.85,135.0,413,17,
"Room in Borgo Valbelluna, Italy",Bavarian room in the Dolomites,Room,Borgo Valbelluna,Italy,June,84.00,4.8,5.0,523,18,
"Hotel room in Muratpaşa, Turkey",KALEİÇİ BACCHUS OTEL DENİZ MANZARALI TATİL 501,Hotel room,Muratpaşa,Turkey,June,83.00,4.73,230.0,580,19,
"Condo in Na Chom Thian, Thailand",Veranda Residence pattaya 2bedroom partial seaview,Condo,Na Chom Thian,Thailand,June,83.00,4.89,186.0,315,19,
"Condo in Na Chom Thian, Thailand",Veranda Residence pattaya 2bedroom partial seaview,Condo,Na Chom Thian,Thailand,June,83.00,4.89,186.0,314,19,
"Guesthouse in Naples, Florida, US",Waterfront Sea Cottage,Guesthouse,Naples,United States,June,82.00,4.8,276.0,508,20,Florida
"Nature lodge in Quesada, Costa Rica",Cabin Over a water fall,Nature lodge,Quesada,Costa Rica,June,82.00,4.94,133.0,198,20,
"Shepherd’s hut in County Durham, UK",Ben's hat,Shepherd’s hut,County Durham,United Kingdom,June,82.00,4.92,356.0,234,20,
"Farm stay in Montregard, France",Vovady Farm : Roulotte Bohème,Farm stay,Montregard,France,June,82.00,4.85,34.0,428,20,
"Room in Kabupaten Badung, Indonesia",Private room4 Legian/breakfast/close to Kuta beach,Room,Kabupaten Badung,Indonesia,June,81.00,4.91,34.0,278,21,
"Earthen home in La Canourgue, France",canopy house,Earthen home,La Canourgue,France,June,81.00,4.81,212.0,496,21,
"Apartment in Cancún, Mexico",Cancun Suites (Standard Room),Apartment,Cancún,Mexico,July,81.00,4.47,192.0,662,21,
"Tiny home in Blockhouse, Canada",The Ruby -A Rustic Red Ark tiny home,Tiny home,Blockhouse,Canada,June,81.00,4.98,43.0,101,21,
"Room in Cancún, Mexico",Camilo's Luxury Shared Townhouse,Room,Cancún,Mexico,July,81.00,4.87,301.0,360,21,
"Room in Kabupaten Badung, Indonesia",Private room4 Legian/breakfast/close to Kuta beach,Room,Kabupaten Badung,Indonesia,June,81.00,4.91,34.0,277,21,
"Apartment in Calpe, Spain",Apartment Caribe - PlusHolidays,Apartment,Calpe,Spain,June,80.00,3.67,3.0,682,22,
"Cabin in La Atalaya, Spain",Cabaña ecológica de madera en la naturaleza,Cabin,La Atalaya,Spain,June,80.00,4.79,14.0,535,22,
"Cabin in Hornedo, Spain",Forest cabin,Cabin,Hornedo,Spain,September,80.00,4.84,212.0,441,22,
"Apartment in Orlando, Florida, US",Studio near Disney,Apartment,Orlando,United States,June,80.00,4.43,132.0,670,22,Florida
"Hut in Balderson, Canada",Glamping Cabin at Balderson Blueberries,Hut,Balderson,Canada,June,80.00,4.89,76.0,325,22,
"Home in Otívar, Spain","Views to the valley, Wi-Fi, Air-Con, terrace,",Home,Otívar,Spain,June,79.00,4.88,140.0,336,23,
"Hut in Kecamatan Selat, Indonesia",GLAMPING Experience with an INFINITY POOL,Hut,Kecamatan Selat,Indonesia,June,79.00,4.8,45.0,518,23,
"Apartment in Cancún, Mexico",1208 Beach property part ocean & pool view,Apartment,Cancún,Mexico,June,79.00,4.64,148.0,627,23,
"Chalet in Covilhã, Portugal",Xitaca do Pula,Chalet,Covilhã,Portugal,June,78.00,4.95,203.0,166,24,
"Apartment in San José del Cabo, Mexico",Beachfront at its finest @ San Jose del Cabo! 🤩🏄🏼‍♂️🏖,Apartment,San José del Cabo,Mexico,June,78.00,4.75,186.0,569,24,
"Room in Kassel, Germany",Cosy interesting loam house,Room,Kassel,Germany,June,78.00,5.0,10.0,46,24,
"Place to stay in Krabčice, Czechia","R.I.P. by ŘÍP - 
Rest In Pod by ŘÍP",Place to stay,Krabčice,Czechia,June,78.00,4.92,36.0,253,24,
"Houseboat in Jickovice, Czechia","Boat in Orlik, you want it!",Houseboat,Jickovice,Czechia,June,78.00,4.31,29.0,679,24,
"Home in Hua Hin, Thailand",Cool Home w Garden near Sea,Home,Hua Hin,Thailand,July,77.00,4.81,360.0,492,25,
"Home in Hua Hin, Thailand",Cool Home w Garden near Sea,Home,Hua Hin,Thailand,July,77.00,4.81,360.0,493,25,
"Cabin in Idrac respailles , France",Cabin into the wild,Cabin,Idrac respailles,France,June,77.00,4.67,282.0,616,25,
"Cottage in Wheatley, Canada","Cozy Modern Beach House w/ Pool, Hot Tub & More!",Cottage,Wheatley,Canada,June,764.00,4.74,19.0,579,26,
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,Cabin,Totana,Spain,June,76.00,4.78,24.0,552,27,
"Cabin in Jacó, Costa Rica",Jungle house 3km to Jaco beach & town center,Cabin,Jacó,Costa Rica,June,76.00,4.84,153.0,443,27,
"Cabin in Totana, Spain",Rural Aledo - El Estrecho,Cabin,Totana,Spain,June,76.00,4.78,24.0,553,27,
"Farm stay in Gianyar, Indonesia","Bebalilodge, one bedroom house with private pool",Farm stay,Gianyar,Indonesia,October,76.00,4.97,153.0,111,27,
"Tiny home in Peachland, Canada",Haven in the Woods- tiny home WiFi & solar power,Tiny home,Peachland,Canada,June,76.00,5.0,4.0,59,27,
"Cabin in Torsåker, Sweden",Cozy cottage in Torsåker (Hofors),Cabin,Torsåker,Sweden,June,75.00,4.83,254.0,458,28,
"Boutique hotel in Kathu District, Thailand",B Designer King Bed with Partial SEA VIEW bath,Boutique hotel,Kathu District,Thailand,June,75.00,4.5,281.0,660,28,
"Apartment in Playa del Carmen, Mexico",It Hotel & Residences - Studio Rental in PDC,Apartment,Playa del Carmen,Mexico,June,75.00,4.79,253.0,528,28,
"Cottage in Luquillo, Puerto Rico",The Sugar Shack a unique cabin in the Rainforest,Cottage,Luquillo,Puerto Rico,September,75.00,4.92,447.0,230,28,
"Farm stay in Agello, Italy",Historic residence surrounded by olive trees,Farm stay,Agello,Italy,June,75.00,4.98,46.0,94,28,
"Condo in Johor Bahru, Malaysia","Baby & kids friendly, JB CIQ, Romantic Duplex",Condo,Johor Bahru,Malaysia,June,75.00,4.82,182.0,479,28,
"Cabin in Fennville, Michigan, US",Fire & Water | Rejuvenating Stay on the Riverbend,Cabin,Fennville,United States,June,743.00,4.83,175.0,461,29,Michigan
"Treehouse in Atenas, Costa Rica",Treehouse on a Coffee Farm with Ocean View,Treehouse,Atenas,Costa Rica,June,74.00,5.0,13.0,35,30,
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),Bungalow,Izmir,Turkey,June,74.00,4.82,223.0,476,30,
"Bungalow in Izmir, Turkey",İzmir Bungalow. ( Urla treehouse 1),Bungalow,Izmir,Turkey,June,74.00,4.82,223.0,477,30,
"Hut in Witzenhausen, Germany","Countryside Sleeps, Bakery, Homestay",Hut,Witzenhausen,Germany,July,73.00,4.95,385.0,161,31,
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",Room,Borgo Valsugana,Italy,September,73.00,4.99,121.0,71,31,
"Room in Borgo Valsugana, Italy","La Tana del Lupo B&B, family and outdoor sports",Room,Borgo Valsugana,Italy,September,73.00,4.99,121.0,72,31,
"Home in Taktikoupoli, Greece",Levanda Home,Home,Taktikoupoli,Greece,October,73.00,4.91,147.0,267,31,
"Farm stay in Nyköping S, Sweden",Simple guesthouse on a farm. Double bed and sofa bed. Free Wi-Fi and parking. WC and living room/kitchenette in separate building,Farm stay,Nyköping S,Sweden,June,73.00,4.89,18.0,328,31,
"Bungalow in Puerto Viejo de Talamanca, Costa Rica",CASA BADAWI in 400m Tropical Garden. Optical Fiber,Bungalow,Puerto Viejo de Talamanca,Costa Rica,June,72.00,4.96,108.0,143,32,
